codice;codice alternativo;ean;codice padre;descrizione;descrizione aggiuntiva;unita misura;unita vendita;iva;dimensione;volume;dispo vincolante;richiede autenticazione;novita;online;nome img;extra1;extra2;extra3;colorhex;Lotto;note;data disponibilita;Data_scadenza;creazione;ultima modifica;pezzi_confezione;Punti_fedelta;categoria_provvigione
'0002';'8056459850002';'8056459850002';;'Fogli di Carta da Forno 29 cm 20 pz ';'Fogli di Carta da Forno 29 cm 20 pz  - quantita cartone: 24 pz';'PZ';24;22;;;'NO';'NO';'SI';'NO';'0002.jpg';'24 pz';;'003';;;;;'31/12/2030';'10/05/2013';'10/05/2013';24;;'003'
'0003';'8057018570003';'8057018570003';;'Tovaglia 137x274 Verde Mela';'Tovaglia 137x274 Verde Mela - quantita cartone: 72 pz';'PZ';72;22;;;'NO';'NO';'SI';'NO';;'72 pz';'72 pz';'010';;;;;'31/12/2030';'02/01/2016';'02/01/2016';72;;'010'
'0006';'8004995650006';'8004995650006';;'Candelina Glitter Ministelo 12pz Multic.';'Candelina Glitter Ministelo 12pz Multic. - quantita cartone: 72 pz - quantita sottoimballo: 12 pz';'PZ';72;22;;;'NO';'NO';'SI';'SI';'0006.jpg';'72 pz';'12 pz';'003';;;;;'31/12/2030';'01/03/2011';'01/03/2011';72;;'003'
'0010';'8057018570010';'8057018570010';;'Tovaglia 137x274  cm Fuxia';'Tovaglia 137x274  cm Fuxia - quantita cartone: 72 pz - quantita sottoimballo: 12 pz';'PZ';72;22;;;'NO';'NO';'SI';'SI';;'72 pz';'12 pz';'010';;;;;'31/12/2030';'02/01/2016';'02/01/2016';72;;'010'
'0013';'8004995650013';'8004995650013';;'Candelina 23cm 6pz Colore Rosa';'Candelina 23cm 6pz Colore Rosa - quantita cartone: 48 pz - quantita sottoimballo: 12 pz';'PZ';48;22;;;'NO';'NO';'SI';'SI';'0013.jpg';'48 pz';'12 pz';'003';;;;;'31/12/2030';'31/03/2010';'31/03/2010';48;;'003'
'0019';'8056459850019';'8056459850019';;'Fogli di Carta da Forno  16,5cm 30 pz ';'Fogli di Carta da Forno  16,5cm 30 pz  - quantita cartone: 24 pz';'PZ';24;22;;;'NO';'NO';'SI';'NO';'0019.jpg';'24 pz';;'008';;;;;'31/12/2030';'10/05/2013';'10/05/2013';24;;'008'
'00196';'5600302390196';'5600302390196';;'Bombola Elio 0.25 cbm  30 palloni 9';'Bombola Elio 0.25 cbm  30 palloni 9';'PZ';1;22;;;'NO';'NO';'SI';'NO';;;;'004';;;;;'31/12/2030';'10/04/2015';'10/04/2015';1;;'004'
'0020';'8004995650020';'8004995650020';;'Candelina 23cm 6pz Colore Celeste';'Candelina 23cm 6pz Colore Celeste - quantita cartone: 48 pz - quantita sottoimballo: 12 pz';'PZ';48;22;;;'NO';'NO';'SI';'SI';'0020.jpg';'48 pz';'12 pz';'003';;;;;'31/12/2030';'31/03/2010';'31/03/2010';48;;'003'
'0026';'8056459850026';'8056459850026';;'Stampo in Silicone Nr 0';'Stampo in Silicone Nr 0 - quantita cartone: 24 pz';'PZ';6;22;;;'NO';'NO';'SI';'NO';'0026.jpg';'24 pz';'6 pz';'008';;;;;'31/12/2030';'10/05/2013';'10/05/2013';6;;'008'
'0027';'8057018570027';'8057018570027';;'Tovaglia 137x274  cm Nero ';'Tovaglia 137x274  cm Nero  - quantita cartone: 72 pz - quantita sottoimballo: 12 pz';'PZ';72;22;;;'NO';'NO';'SI';'SI';;'72 pz';'12 pz';'010';;;;;'31/12/2030';'02/01/2016';'02/01/2016';72;;'010'
