codice articolo;codice magazzino;anno;ordinato cliente;ordinato fornitore;prenotato cliente;carico;scarico;inventario
0890;00;2018;0;0;0;0;0;432
0906;00;2018;0;0;0;0;0;120
0913;00;2018;0;0;0;0;0;-3744
1583;00;2018;0;0;0;0;0;1536
1231;00;2018;0;0;0;0;0;211
1248;00;2018;0;0;0;0;0;0
1255;00;2018;0;0;0;0;0;4947
0920;00;2018;0;0;0;0;0;0
0920D;00;2018;0;0;0;0;0;0
1606;00;2018;0;0;0;0;0;0
1590;00;2018;0;0;0;0;0;-288
1613;00;2018;0;0;0;0;0;0
0944;00;2018;0;0;0;0;0;2592
1262;00;2018;0;0;0;0;0;480
1279;00;2018;0;0;0;0;0;6912
2610;00;2018;0;0;0;0;0;6993
2627;00;2018;0;0;0;0;0;6179
2634;00;2018;0;0;0;0;0;276
2672;00;2018;0;0;0;0;0;0
2689;00;2018;0;0;0;0;0;0
2702;00;2018;0;0;0;0;0;606
1620;00;2018;0;0;0;0;0;909
1811;00;2018;0;0;0;0;0;972
2726;00;2018;0;0;0;0;0;0
2719;00;2018;0;0;0;0;0;0
2290S;00;2018;0;0;0;0;0;0
2290G;00;2018;0;0;0;0;0;1586
2306;00;2018;0;0;0;0;0;2164
2313;00;2018;0;0;0;0;0;1606
2429;00;2018;0;0;0;0;0;1968
1002;00;2018;0;0;0;0;0;-161
0999;00;2018;0;0;0;0;0;0
0951;00;2018;0;0;0;0;0;-214
0968;00;2018;0;0;0;0;0;0
1446;00;2018;0;0;0;0;0;-108
1460;00;2018;0;0;0;0;0;0
1729;00;2018;0;0;0;0;0;21
1712;00;2018;0;0;0;0;0;0
1972;00;2018;0;0;0;0;0;0
2535;00;2018;0;0;0;0;0;0
2542;00;2018;0;0;0;0;0;0
2559;00;2018;0;0;0;0;0;0
2566;00;2018;0;0;0;0;0;0
2573;00;2018;0;0;0;0;0;0
2580;00;2018;0;0;0;0;0;0
2597;00;2018;0;0;0;0;0;0
2603;00;2018;0;0;0;0;0;0
1774;00;2018;0;0;0;0;0;0
1781;00;2018;0;0;0;0;0;0
1798;00;2018;0;0;0;0;0;0
2467;00;2018;0;0;0;0;0;0
2474;00;2018;0;0;0;0;0;0
2443;00;2018;0;0;0;0;0;0
1903;00;2018;0;0;0;0;0;0
2641;00;2018;0;0;0;0;0;0
2658;00;2018;0;0;0;0;0;0
4775;00;2018;0;0;0;0;0;0
4782;00;2018;0;0;0;0;0;0
4799;00;2018;0;0;0;0;0;0
4805;00;2018;0;0;0;0;0;0
4812;00;2018;0;0;0;0;0;0
4829;00;2018;0;0;0;0;0;0
3556;00;2018;0;0;0;0;0;0
3563;00;2018;0;0;0;0;0;0
3570;00;2018;0;0;0;0;0;0
3587;00;2018;0;0;0;0;0;0
3594;00;2018;0;0;0;0;0;0
3600;00;2018;0;0;0;0;0;0
3617;00;2018;0;0;0;0;0;0
3624;00;2018;0;0;0;0;0;0
3631;00;2018;0;0;0;0;0;0
3648;00;2018;0;0;0;0;0;12165
3655;00;2018;0;0;0;0;0;0
3662;00;2018;0;0;0;0;0;0
1989;00;2018;0;0;0;0;0;0
1958;00;2018;0;0;0;0;0;0
1965;00;2018;0;0;0;0;0;0
1644;00;2018;0;0;0;0;0;0
1927;00;2018;0;0;0;0;0;0
2177;00;2018;0;0;0;0;0;0
2184;00;2018;0;0;0;0;0;0
2191;00;2018;0;0;0;0;0;0
2207;00;2018;0;0;0;0;0;0
2214;00;2018;0;0;0;0;0;0
2252;00;2018;0;0;0;0;0;0
1910;00;2018;0;0;0;0;0;0
2177I;00;2018;0;0;0;0;0;0
2184I;00;2018;0;0;0;0;0;0
2191I;00;2018;0;0;0;0;0;0
2207I;00;2018;0;0;0;0;0;0
2214I;00;2018;0;0;0;0;0;0
2221I;00;2018;0;0;0;0;0;0
1934;00;2018;0;0;0;0;0;0
2177L;00;2018;0;0;0;0;0;0
2184L;00;2018;0;0;0;0;0;0
2191L;00;2018;0;0;0;0;0;0
2207L;00;2018;0;0;0;0;0;0
